With its ability to distinguish any smell, it unfailingly finds all food buried deep underground.

In forests, it is said that there are many streams and towering trees where an URSARING gathers food. It walks through its forest collecting food every day.

Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen berries.

It usually wears a hardened expression, but when it’s licking up honey—which it loves—the joy it feels will cause it to break into a wide grin.

Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES.

In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.

When the cold season arrives in Hisui, this Pokémon will wander fields and mountains alike in search of its favorite berries. Ursaring’s hunger during this time makes it a ferocious danger.

With its ability to distinguish any aroma, it unfailingly finds all food buried deep underground.

Although it has a large body, it is quite skilled at climbing trees. It eats and sleeps in the treetops.

It is quite skilled at climbing trees. If it comes across a Primeape while searching for berries in the treetops, trouble will surely ensue.

In the forests inhabited by URSARING, it is said that there are many streams and towering trees where they gather food. This POKéMON walks through its forest gathering food every day.

In its territory, it leaves scratches on trees that bear delicious berries or fruits.

Although it is a good climber, it prefers to snap stout trees with its forelegs and eat fallen BERRIES.

